rate,target,prev_decision,next_decision,cpi_diff_year,infl_exp,unem_diff_year,gdp_diff_year
2012-07-01,3.5,0.0,0.0,0.0,1.9057171451932433,3.1,0.08835359999999959,3.4055335932541433
2012-08-01,3.5,0.0,0.0,-1.0,1.971266289912917,3.033333333,-0.11406250000000018,3.2018361401360993
2012-09-01,3.5,-1.0,0.0,0.0,2.036727879083026,2.966666667,0.2666241000000005,2.9995967109794512
2012-10-01,3.25,0.0,-1.0,-1.0,2.1021020985417125,2.9,0.22360260000000043,2.798799725283815
2012-11-01,3.25,-1.0,0.0,0.0,2.2355688933166165,2.833333333,0.0265525000000002,2.621672813479398
2012-12-01,3.0,0.0,-1.0,0.0,2.369035698869792,2.766666667,0.23573170000000054,2.445668876505572
2013-01-01,3.0,0.0,0.0,0.0,2.5025024936446814,2.7,0.34168100000000035,2.270777123221269
2013-02-01,3.0,0.0,0.0,0.0,2.464202473032094,2.65,0.20623039999999992,2.1628480604413554
2013-03-01,3.0,0.0,0.0,-1.0,2.426055172539245,2.6,0.45631980000000016,2.055443287642462
2013-04-01,3.0,-1.0,0.0,0.0,2.388059702100206,2.55,0.5925770999999997,1.9485589945471116
2013-05-01,2.75,0.0,-1.0,0.0,2.3463317877038588,2.55,0.40882920000000045,2.012333461769961
2013-06-01,2.75,0.0,0.0,-1.0,2.304906149935876,2.55,0.5322177999999997,2.075856777642704
2013-07-01,2.75,-1.0,0.0,0.0,2.2637795375519807,2.55,0.4521879000000002,2.1391305305870705
2013-08-01,2.5,0.0,-1.0,0.0,2.391874185466915,2.6,0.6862950000000003,2.2492395079330803
2013-09-01,2.5,0.0,0.0,0.0,2.51963351790131,2.65,0.21716139999999928,2.3589911707235043
2013-10-01,2.5,0.0,0.0,0.0,2.6470588281866427,2.7,0.4140600999999995,2.468387308122198
2013-11-01,2.5,0.0,0.0,0.0,2.741514366451683,2.65,0.5414387999999999,2.581499201264574
2013-12-01,2.5,0.0,0.0,0.0,2.8357235952335644,2.6,0.46775259999999985,2.6942813898028826
2014-01-01,2.5,0.0,0.0,0.0,2.9296875088105376,2.55,0.5505648000000001,2.8067354206884754
2014-02-01,2.5,0.0,0.0,0.0,2.9899252472866724,2.55,0.4885507999999996,2.8151946600803295
2014-03-01,2.5,0.0,0.0,0.0,3.049967546395155,2.55,0.2337226999999995,2.823630585890861
2014-04-01,2.5,0.0,0.0,0.0,3.1098153554861603,2.55,0.21493260000000003,2.832043260285273
2014-05-01,2.5,0.0,0.0,0.0,2.841459477691116,2.583333333,0.31964469999999956,2.724761371854265
2014-06-01,2.5,0.0,0.0,0.0,2.5748310274835062,2.616666667,0.35195690000000024,2.6180351753232585
2014-07-01,2.5,0.0,0.0,0.0,2.3099133787570043,2.65,0.5526311999999995,2.5118603455384645
2014-08-01,2.5,0.0,0.0,0.0,2.111999997879716,2.666666667,0.2593740999999996,2.3640565980525308
2014-09-01,2.5,0.0,0.0,0.0,1.9150973460463894,2.683333333,0.5212424000000002,2.217048926182526
2014-10-01,2.5,0.0,0.0,0.0,1.719197700398983,2.7,0.5367424000000005,2.070830879642949
2014-11-01,2.5,0.0,0.0,-1.0,1.5883100359615736,2.683333333,0.5032904999999994,2.127050342756483
2014-12-01,2.5,-1.0,0.0,-1.0,1.4580031725609015,2.666666667,0.20427600000000012,2.1829826573703706
2015-01-01,2.375,-1.0,-1.0,0.0,1.3282732425331265,2.65,0.40441159999999954,2.2386300171183504
2015-02-01,2.25,0.0,-1.0,0.0,1.3884506106109442,2.65,0.2542901000000004,2.1165131064776657
2015-03-01,2.25,0.0,0.0,-1.0,1.4483627233876635,2.65,0.22735540000000043,1.9947529878092876
2015-04-01,2.25,-1.0,0.0,0.0,1.508011290151407,2.65,0.3068311999999995,1.8733481181363083
2015-05-01,2.0,0.0,-1.0,0.0,1.4756672169687208,2.483333333,0.001507799999999726,2.062436478450248
2015-06-01,2.0,0.0,0.0,0.0,1.44336363743601,2.316666667,-0.04360950000000052,2.2509377099273293
2015-07-01,2.0,0.0,0.0,0.0,1.4111006676805589,2.15,0.1012442,2.438854525186011
2015-08-01,2.0,0.0,0.0,0.0,1.5042306794301215,2.266666667,-0.010280599999999751,2.5241835421902645
2015-09-01,2.0,0.0,0.0,0.0,1.5972439222924053,2.383333333,-0.0631503999999996,2.60929776330893
2015-10-01,2.0,0.0,0.0,0.0,1.6901408177583004,2.5,-0.44325470000000067,2.694197997702051
2015-11-01,2.0,0.0,0.0,0.0,1.563477201444894,2.433333333,-0.4433952999999997,2.677862917826136
2015-12-01,2.0,0.0,0.0,0.0,1.4370509043077713,2.366666667,-0.3636626999999999,2.661629109262438
2016-01-01,2.0,0.0,0.0,0.0,1.310861461358617,2.3,-0.3115541999999998,2.645495615477204
2016-02-01,2.0,0.0,0.0,0.0,1.2138188675425958,2.3,-0.45721660000000064,2.8248566816374057
2016-03-01,2.0,0.0,0.0,-1.0,1.1173184009726205,2.3,-0.45128080000000015,3.004121256487189
2016-04-01,2.0,-1.0,0.0,0.0,1.0213556616424733,2.3,-0.46715209999999985,3.183289503217379
2016-05-01,1.75,0.0,-1.0,0.0,1.1448019989378662,2.2,-0.21011329999999973,2.872973145631145
2016-06-01,1.75,0.0,0.0,-1.0,1.2681719709604822,2.1,-0.31433109999999953,2.5647627069178505
2016-07-01,1.75,-1.0,0.0,0.0,1.39146564613994,2.0,-0.5798649999999999,2.2586368383623876
2016-08-01,1.5,0.0,-1.0,0.0,1.3893176593930785,2.083333333,-0.47689249999999994,2.4147661017779205
2016-09-01,1.5,0.0,0.0,0.0,1.387176395018617,2.166666667,-0.5136843999999998,2.570243653971284
2016-10-01,1.5,0.0,0.0,0.0,1.3850416203743738,2.25,-0.33375479999999946,2.7250735661611047
2016-11-01,1.5,0.0,0.0,0.0,1.6317734176623113,2.083333333,-0.09049830000000014,2.5211788256373056
2016-12-01,1.5,0.0,0.0,0.0,1.8786571917799995,1.916666667,0.0896353999999997,2.3184838665448226
2017-01-01,1.5,0.0,0.0,0.0,2.1256930796931144,1.75,-0.3371341000000001,2.1169781623719137
2017-02-01,1.5,0.0,0.0,0.0,2.060270634258642,1.816666667,0.15675550000000005,2.107040002444698
2017-03-01,1.5,0.0,0.0,0.0,1.9950890562772623,1.883333333,0.20115380000000016,2.0971418190108606
2017-04-01,1.5,0.0,0.0,0.0,1.9301470155259206,1.95,-0.02982610000000019,2.0872832734261904
