rate,target,prev_decision,next_decision,cpi_diff_year,infl_exp,unem_diff_year,gdp_diff_year
2006-08-01,5.25,0.0,1.0,0.0,3.8583358067422426,3.2,-1.541248402999999,4.415293228434307
2006-09-01,5.25,0.0,0.0,0.0,2.830035440019387,3.0,-1.9118231580000007,6.37795170577085
2006-10-01,5.25,0.0,0.0,0.0,2.011487905847887,2.7,-2.0540595359999996,7.915394017723161
2006-11-01,5.25,0.0,0.0,-1.0,2.0114878932591393,2.9,-2.112588571,6.059136555498359
2006-12-01,5.25,-1.0,0.0,-1.0,2.420761683720901,2.9,-1.9302933939999996,5.940992762482944
2007-01-01,5.090909091,-1.0,-1.0,0.0,2.6253985668849973,3.0,-1.64852356,6.466417810997404
2007-02-01,5.0,0.0,-1.0,0.0,2.5226704377667475,2.7,-1.439265068,5.539465928723906
2007-03-01,5.0,0.0,0.0,0.0,2.3188480359097827,2.8,-1.6191333660000007,8.272700044711017
2007-04-01,5.0,0.0,0.0,0.0,2.3188480238535387,2.9,-1.749415506000001,6.559226724700676
2007-05-01,5.0,0.0,0.0,1.0,2.72730650664494,3.0,-2.018969577,5.345905898333111
2007-06-01,5.0,1.0,0.0,1.0,3.0336503607439584,3.0,-2.059993241999999,5.059650862308915
2007-07-01,5.15,1.0,1.0,1.0,3.6487766423939694,3.2,-1.754670323,3.781872379641675
2007-08-01,5.420454545,1.0,1.0,1.0,4.475486717780774,3.5,-0.9011840600000012,4.731676582219355
2007-09-01,5.617647059,1.0,1.0,0.0,5.624717077223628,3.5,-0.20782778900000043,5.031984996374574
2007-10-01,5.75,0.0,1.0,1.0,6.260372341918055,3.5,0.38047604800000023,3.4359853958753876
2007-11-01,5.75,1.0,0.0,1.0,7.325105530820357,3.5,0.6921787660000005,4.423500760160493
2007-12-01,5.881578947,1.0,1.0,1.0,7.753977083108491,3.6,1.2070696339999998,4.909256716263326
2008-01-01,6.170454545,1.0,1.0,0.0,7.431682041547226,4.0,1.1265816530000006,5.497342627423532
2008-02-01,6.25,0.0,1.0,0.0,8.077563896304586,3.7,0.9764305380000007,6.48001590471617
2008-03-01,6.25,0.0,0.0,0.0,8.508151785053064,4.2,0.8227504010000004,4.168497643132146
2008-04-01,6.25,0.0,0.0,1.0,8.292429831268002,4.0,0.8084070150000002,4.222198104081852
2008-05-01,6.25,1.0,0.0,1.0,8.93830911962267,4.1,1.2141708819999995,4.091097275830732
2008-06-01,6.583333333,1.0,1.0,1.0,9.586108777850242,4.5,1.5191333490000005,4.933658053320517
2008-07-01,7.068181818,1.0,1.0,1.0,9.586108779257604,5.5,1.3180021270000006,6.399568078100475
2008-08-01,7.5,1.0,1.0,1.0,9.369321235925762,5.5,0.5589694340000007,1.6941624760900214
2008-09-01,8.15,1.0,1.0,0.0,9.369321231834427,6.0,0.05129619400000074,1.814215335960186
2008-10-01,8.25,0.0,1.0,0.0,10.023574392474762,5.3,-0.18989942199999987,2.4415363484879564
2008-11-01,8.25,0.0,0.0,-1.0,9.041221062458089,4.6,0.21368495900000006,-0.4147748772720243
2008-12-01,8.25,-1.0,0.0,-1.0,7.196742675720349,3.6,0.2999999999999998,-0.31818172489912533
2009-01-01,7.488095238,-1.0,-1.0,-1.0,6.3391687425846115,3.5,0.7896619439999997,-1.1427790320894005
2009-02-01,5.875,-1.0,-1.0,-1.0,5.491844685500537,3.0,1.1601241609999997,-2.4581948301064136
2009-03-01,3.272727273,-1.0,-1.0,-1.0,5.073226266532813,2.9,1.6398182619999995,-2.3690582277507284
2009-04-01,1.916666667,-1.0,-1.0,-1.0,4.445298611037552,2.5,2.1430796180000007,-2.2622272351435617
2009-05-01,1.355263158,-1.0,-1.0,-1.0,2.8971963651840458,2.5,2.265537613000001,-2.524590687017793
2009-06-01,1.035714286,-1.0,-1.0,-1.0,1.680677785802245,2.2,2.3317466289999995,-3.189697393470147
2009-07-01,0.579545455,-1.0,-1.0,0.0,0.17206238220705744,2.1,2.405251884,-2.9174095353198135
2009-08-01,0.5,0.0,-1.0,0.0,-1.118558833493613,2.0,2.5688309890000003,0.7878988085525426
2009-09-01,0.5,0.0,0.0,0.0,-1.21636442386679,2.1,2.4559761599999996,0.12797777436958196
2009-10-01,0.5,0.0,0.0,0.0,-2.0974870288726435,2.3,2.1835017720000005,0.09954512761164928
2009-11-01,0.5,0.0,0.0,0.0,-2.489489085201626,2.3,1.5661359670000001,2.232649270192908
2009-12-01,0.5,0.0,0.0,0.0,-1.601235445277021,2.3,1.099588572,1.736225038467869
2010-01-01,0.5,0.0,0.0,0.0,-0.3117355042633162,2.5,0.6715180779999992,2.685359826396488
2010-02-01,0.5,0.0,0.0,0.0,0.38888483215717845,2.6,0.030025107000000162,3.9521466638894642
2010-03-01,0.5,0.0,0.0,0.0,0.08891804107446068,3.2,0.03162458000000079,-0.11551709519055764
2010-04-01,0.5,0.0,0.0,1.0,0.7909445203756523,3.4,-0.9549384120000006,6.083833001153804
